x_0 f(x)
1 5
2 4
3 4
4 360
5 414
6 544
7 544
8 730
9 870
10 996
11 1112
12 1284
1 0
2 0
3 300
4 300
5 387
6 649
7 710
8 814
9 814
10 1032
11 1130
12 1263
13 1425
14 1425
15 1581
16 1827
17 2255
18 2334
19 2485
20 2806
21 3159
22 3463
23 3928
24 3707
25 3854
26 3581
27 3581
28 3707
29 3711
30 4261
31 4163
32 4264
33 4473
34 4479
35 4662
36 4816
37 5064
38 5268
39 5253
40 5049
41 5268
42 5555
43 5446
44 5884
45 5920
46 6161
47 6510
48 6478
49 6665
50 7130
1 0
2 0
3 182
4 182
5 308
6 508
7 751
8 751
9 875
10 875
11 875
12 875
13 1355
14 1355
15 1355
16 1931
17 1931
18 1931
19 1931
20 1931
21 1931
22 2724
23 2724
24 2724
25 2724
26 2724
27 2724
28 3596
29 3596
30 3596
31 3596
32 3596
33 4688
34 4688
35 4688
36 4688
37 4688
38 4688
39 5943
40 5943
41 5943
42 5943
43 5943
44 5943
45 7053
46 7053
47 7053
48 7053
49 7795
50 7795
51 7795
52 7795
53 7795
54 7795
55 9080
56 9080
57 9080
58 9080
59 9080
60 9080
61 10240
62 10240
63 10240
64 11719
65 11719
66 11719
67 11719
68 11719
69 11719
70 12255
71 12255
72 12255
73 12255
74 14096
75 14096
76 14096
77 14096
78 14096
79 14096
80 15765
81 15765
82 15765
83 15765
84 16671
85 16671
86 16671
87 16671
88 18667
89 18667
90 18667
91 18667
92 19475
93 19475
94 19475
95 19475
96 19475
97 19475
98 22143
99 22143
100 22672
1 0
2 0
3 0
4 118
5 118
6 118
7 118
8 118
9 118
10 118
11 1071
12 1071
13 1071
14 1071
15 1071
16 1071
17 2319
18 2319
19 2319
20 2319
21 2319
22 2319
23 3416
24 3416
25 3416
26 3416
27 3416
28 4250
29 4250
30 4250
31 4250
32 4250
33 4250
34 4250
35 5421
36 6534
37 6534
38 6534
39 6534
40 6534
41 6508
42 6508
43 6508
44 6508
45 6508
46 6508
47 6508
48 7149
49 7149
50 7149
51 7149
52 7149
53 7149
54 9825
55 9825
56 9825
57 9825
58 9825
59 9825
60 10706
61 10706
62 10706
63 10706
64 10706
65 11879
66 11879
67 11879
68 11879
69 11879
70 11879
71 14003
72 14003
73 14003
74 14003
75 14545
76 14545
77 14545
78 14545
79 14545
80 15703
81 15703
82 15703
83 15703
1 0
2 0
3 70
4 70
5 70
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 1922
25 1922
26 1922
27 1922
28 1922
29 1922
30 1922
31 1922
32 1922
33 1922
34 1922
35 1922
36 1922
37 1922
38 1922
39 1922
40 1922
41 1922
42 1922
43 1922
44 10047
45 10047
46 8714
47 8129
48 8129
49 8226
50 8226
1 0
2 0
3 0
4 88
5 88
6 88
7 88
8 88
9 88
10 88
11 88
12 88
13 88
14 88
15 88
16 88
17 88
18 88
19 88
20 1336
21 1336
22 1336
23 1336
1 0
2 0
3 0
4 0
5 0
1 0
1 0
2 0
3 0
4 0
5 0
6 0
7 1355
8 1355
9 1355
10 1355
11 1355
1 0
2 0
3 0
4 174
5 174
6 174
7 174
8 174
