x_0 f(x)
1 120
2 98
3 154
4 275
5 430
6 703
7 880
8 962
9 1142
10 1418
11 1418
12 1759
13 1759
14 1905
15 2160
16 2441
17 2540
18 2719
19 2578
20 2976
21 2933
22 2933
23 3033
24 3326
25 3544
26 3596
27 4012
28 4236
29 4236
30 4416
31 4782
32 4705
33 4065
34 4667
35 4667
36 4967
37 4801
38 6007
39 5093
40 5608
41 5537
42 6323
43 7512
44 8463
45 10937
1 0
2 120
3 120
4 301
5 301
6 717
7 809
8 834
9 1013
10 1013
11 1228
12 1469
13 1647
14 1647
15 1880
16 1880
17 2183
18 2183
19 2539
20 2539
21 2748
22 2748
23 2862
24 2862
25 3779
26 4337
27 4337
28 3941
29 3941
30 4687
31 5260
32 4572
33 4572
34 5338
35 6816
36 7571
37 7571
38 8558
39 7234
40 7234
41 6841
1 0
1 0
1 0
2 122
3 122
4 144
5 144
6 144
1 0
2 0
3 0
4 120
5 450
6 450
7 661
8 661
9 661
10 1200
11 1265
12 1265
13 1512
14 1512
15 2036
1 0
1 0
1 0
1 0
2 0
3 114
4 114
5 114
6 114
7 114
8 570
9 1130
10 1128
11 1128
12 1128
13 1128
14 1128
15 1128
16 1604
17 1604
18 1604
19 1604
20 1604
21 1604
1 0
2 34
3 34
4 34
5 275
6 275
7 275
8 275
1 0
2 40
3 40
4 40
5 40
6 332
7 332
8 332
9 332
10 332
11 332
12 332
13 1222
14 1222
15 1222
16 1222
17 1222
1 0
2 40
3 186
4 186
5 186
6 411
1 0
2 24
3 240
4 240
5 240
6 240
7 539
8 539
9 539
10 539
11 1525
12 1525
13 1525
14 1779
15 2288
16 2288
17 2956
18 2956
1 0
2 12
3 12
4 282
5 282
6 282
7 282
8 828
9 1280
1 0
2 26
1 0
2 120
3 262
1 0
2 54
3 54
4 54
5 448
6 448
7 448
8 874
9 874
10 1542
11 1619
12 1619
13 1931
14 1931
1 0
2 34
3 176
4 176
5 176
6 424
7 424
8 424
9 947
10 947
11 947
12 947
13 1511
14 1511
15 1511
16 2020
17 2020
18 2020
19 2849
20 2849
21 3301
22 3301
23 3775
1 0
2 18
3 172
4 399
5 516
6 516
7 516
8 516
9 516
10 516
11 1031
12 1031
13 1031
14 1031
15 1031
16 1031
17 2322
18 2322
19 2322
20 2322
21 2322
22 3888
23 3888
24 3778
25 3778
26 3778
27 3778
28 3778
1 0
2 0
3 76
4 76
5 76
6 76
7 483
8 483
9 483
10 483
11 483
12 483
13 483
14 1681
15 1681
16 1681
17 1681
18 1681
19 1681
20 1681
21 2987
22 2987
23 2987
24 2987
25 5115
26 5115
27 4655
28 4655
29 5703
30 5703
31 6240
1 0
2 46
3 46
4 46
5 46
6 414
7 414
8 414
9 987
10 987
11 987
12 1501
13 1501
14 1993
15 1993
16 1993
17 2492
18 2492
19 2492
20 2797
21 2797
22 2797
1 0
2 0
3 0
4 16
5 16
6 16
7 16
8 16
9 16
10 16
11 16
12 16
13 16
14 16
15 16
